F1,F2,F3,F4,F5,F7,F8,F6,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,Target
3.1236203565420873,6.7454042850493625,3.462832322096549,29.152654281089745,258.31939786151344,113.10075688425212,310.2716347394004,0,2,1,1,21,20509,5,5,3,5,1813,12,747,2
4.852142919229749,6.340240915860301,4.3547523684458955,28.83345502103785,257.28851593504,110.5811117861887,315.8506628736118,1,3,1,1,22,23016,4,4,4,4,1815,10,746,0
4.195981825434215,5.77381904071582,5.182364589691021,25.205136526451486,303.43782063647257,102.94115805822292,291.27105544566245,1,2,1,2,27,22727,5,3,3,6,1841,12,720,1
3.79597545259111,7.0344875492673715,4.830562216023903,27.72998262100925,257.46823398946543,118.24188574447732,308.11933448231497,0,1,1,1,34,18681,4,3,2,5,1909,10,791,4
2.4680559213273097,6.711827931384699,5.016402869653625,28.041564950286855,259.0364808290042,88.01898062113611,305.7285692414687,1,1,1,2,30,21932,3,3,3,4,2077,11,820,1
2.467983561008608,5.406542348362228,4.646958416776793,28.190582247175204,293.15787836925745,84.37056841238486,317.4773669554722,0,1,1,1,32,20129,4,4,4,5,2123,11,815,3
2.1742508365045983,7.277317961234607,4.730691411294631,29.64137895381866,271.4817889715378,114.15847867821688,320.77391772165674,1,1,2,2,26,22849,4,3,4,5,1818,12,849,0
4.598528437324806,7.056343107307923,5.122989128913298,29.26882037381503,294.36973898686267,97.56599266534994,280.5470547164824,0,2,1,2,32,23560,5,3,2,5,1865,11,848,0
3.8033450352296265,7.37449978322981,3.6241700221479647,29.863240742347557,244.57563102950698,113.87875416828243,310.33089635764566,1,2,1,1,21,22016,3,4,3,6,1966,12,700,1
4.124217733388137,6.8142987709709,4.223562409107851,31.119066092337025,274.1299835571369,115.7236082078166,282.3326109603878,0,1,2,1,25,21302,4,4,3,5,1872,11,776,2
2.0617534828874073,6.533537989839475,3.5530236045490056,31.503885909728748,242.35295201282977,82.49830374476286,304.69863992848104,0,1,1,1,28,18719,3,3,4,6,2199,12,784,4
4.909729556485983,6.045607590726547,5.469170019991617,30.744984609811954,244.3857242418748,115.33859051944242,292.94347280696553,0,1,1,2,34,18074,3,4,2,5,2109,12,745,4
4.497327922401265,7.331821208385033,5.360148349216534,32.64418956763948,303.4506217341088,97.93276221477689,293.80494697849633,1,2,1,1,23,19293,3,4,3,4,1911,10,836,4
2.6370173320348282,7.165159723751021,3.0985670284212645,25.145860661410893,249.74717597823167,100.41729956016928,295.88313265535606,1,1,2,1,28,19922,5,4,4,5,2073,10,844,2
2.5454749016213016,5.1130466752654735,4.763937931289221,26.566223885468368,277.2694477592652,105.06370044372841,307.9581602072325,1,2,1,1,21,22157,5,5,3,5,2172,10,746,1
2.5502135295603017,5.06591743624313,5.313120793539165,25.060502999825136,268.7766921820495,117.05530426920348,295.0322484550946,1,1,1,1,21,22969,4,3,3,5,1884,10,758,0
2.912726728878613,5.941158417195124,3.451438362818334,30.179797713236823,264.314032838119,80.76464377719056,312.9714572765626,0,3,1,1,28,18319,4,5,2,6,1938,12,753,4
3.5742692948967134,7.026383326954582,4.419863076381573,32.1842443915999,302.9883341981091,99.07373873271268,298.2037323508241,0,3,2,1,31,20149,4,4,2,5,1838,11,785,3
3.2958350559263474,7.468190323287361,5.288720743970105,26.947858372610394,241.52763777428427,107.50888169722242,283.07589401394813,0,1,1,1,26,19452,3,4,3,6,1904,12,711,3
2.8736874205941256,5.376042227758821,3.084864946464497,32.41627635837045,286.4652780322912,108.90827830792914,315.26919291178484,0,1,1,2,26,22969,3,4,4,5,2123,10,705,1
3.8355586841671383,6.485326788380338,4.7435506681171,25.482139122316486,307.43761039494854,107.70129726148431,292.8591246066718,0,2,2,1,20,23841,4,4,2,5,2080,10,752,0
2.4184815819561254,5.952227141577554,3.743372518431377,32.47548821444411,279.2117728423289,85.37740517632487,299.4745095819668,0,1,1,1,32,19555,4,3,3,5,1922,11,843,3
2.8764339456056547,7.424785994536508,5.310990488441326,27.812981497917075,305.57757234231644,91.97582353486725,310.84497474498556,0,2,2,2,30,22207,4,4,3,5,2017,10,789,1
3.099085529881075,7.105297307839272,5.42764561291342,25.81136662759373,243.65805155002167,94.34862101668054,294.960527071692,0,3,1,2,25,21032,3,4,2,6,2176,12,704,2
3.3682099526511076,7.095821761777845,5.360666222783585,28.886974073490606,269.3155323351913,112.1774883071802,282.5463545266022,0,2,2,2,32,18460,3,4,3,5,1860,12,772,4
4.355527884179041,6.171732899487425,4.1855355416436595,27.054212541764063,258.21104536734356,91.15039489658213,296.8264471155766,0,3,1,1,26,18886,3,3,3,4,1899,12,713,3
2.5990213464750793,6.037048755844163,5.155106627473284,27.278983215695384,291.1574675486511,88.42819855468812,322.50018622124367,1,1,2,1,30,21533,4,5,4,5,2106,12,805,2
3.5427033152408347,5.683517679826766,5.111373496337675,27.45831971941029,308.69079633480726,118.29792076152384,308.8780478784351,1,1,2,1,33,21936,5,4,3,5,2153,12,751,1
3.7772437065861273,5.140938741627318,3.797751183108139,31.424207182661306,257.95710437109733,80.35453140453876,310.2165616900243,1,2,1,2,25,19115,4,3,3,4,2192,11,815,3
2.139351238159993,7.161805940637633,5.0722886853766935,29.313290213402034,285.7922221031852,119.91283422727912,308.4526969136938,0,1,1,1,25,19075,5,4,2,4,2003,12,725,4
3.8226345557043153,7.032252522825194,3.0925190867887316,27.49046159324803,253.8668342931818,107.07285195429583,288.95464625317464,0,2,1,1,21,21876,4,4,4,5,2057,10,752,1
2.5115723710618747,7.499294183215326,4.490674696205133,29.882670266487345,279.57311782001267,113.13877197796468,298.8250238846026,1,1,1,1,25,22615,4,4,2,5,1804,10,808,1
2.1951547789558385,7.491592092684764,3.575022093219258,30.72920539378555,272.4752740681835,91.78477585384772,313.7922909263493,0,1,1,1,23,22907,3,4,3,5,1996,10,728,0
4.84665661176,6.388579264006569,3.3014172144431972,27.18099200586827,308.0403730742076,80.5726111066824,284.56178038989214,0,3,1,1,28,19924,5,5,2,4,1979,10,718,3
4.896896099223678,6.922468537951277,3.192383004073023,28.30839281220281,282.5969090887527,109.5147807424612,292.5033749240371,0,1,1,1,34,23700,4,3,4,4,2141,11,746,0
4.425192044349384,7.3619143247060705,4.74072193969535,25.97508874669558,264.4654460460773,113.36578388002704,292.4343598809634,0,3,1,1,31,18926,3,4,3,5,1932,10,835,3
2.913841307520112,7.124118476693528,3.8496874094201656,26.449194796277443,247.98670494215534,109.61904527814076,299.4408517417528,0,3,1,1,20,22652,4,5,3,5,2123,11,722,0
